,newold,stock,sleeps,length,price,location,horsepower
610,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
611,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
612,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
613,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
614,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
615,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
616,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
617,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
618,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
619,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
620,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
621,New,Stock # 1972800,5,25 ft 8 in,159957.0,"Cedar Falls, IA",188
622,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
623,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
624,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
625,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
626,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
627,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
628,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
629,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
630,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
631,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
632,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
633,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
634,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
635,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
636,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
637,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
638,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
639,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
640,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
641,New,Stock # 1972800,5,25 ft 8 in,159957.0,"Cedar Falls, IA",188
642,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
643,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
644,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
645,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
646,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
647,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
648,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
649,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
650,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
651,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
652,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
653,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
654,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
655,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
656,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
657,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
658,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
659,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
660,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
661,New,Stock # 1972800,5,25 ft 8 in,159957.0,"Cedar Falls, IA",188
662,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
663,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
664,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
665,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
666,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
667,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
668,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
669,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
670,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
671,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
672,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
673,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
674,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
675,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
676,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
677,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
678,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
679,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
680,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
681,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
682,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
683,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
684,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
685,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
686,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
687,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
688,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
689,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
690,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
691,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
692,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
693,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
694,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
695,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
696,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
697,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
698,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
699,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
700,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
701,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
702,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
703,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
704,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
705,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
706,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
707,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
708,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
709,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
710,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
711,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
712,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
713,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
714,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
715,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
716,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
717,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
718,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
719,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
720,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
721,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
722,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
723,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
724,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
725,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
726,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
727,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
728,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
729,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
730,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
731,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
732,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
733,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
734,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
